No.,Alloy,Tg,Tx,Tl,GFA,Ref.,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,Y
652,Fe42Co6Cr15Mo14C17B4Tm2,845.0,880.0,1468.0,6.0,65,0.575613079,35,0.59945504,1.61703320,2.15072424,0.38045828,0.62329700,1.41252006,0.36508322,0.22957444,0.38969336,0.89522776,0.61538581,0.51744798,0.05617978,0.08554017,0.64713896,6.0
653,Zr51Co33Al16,775.0,828.0,1258.0,2.0,66,0.616057234,53,0.65818760,1.68444433,3.47052461,0.40727988,0.70031797,1.71428571,0.41978060,0.17357027,0.42233941,1.01186696,0.68006690,0.46210016,0.10973085,0.22214711,0.74244833,2.0
654,Zr52Co32Al16,770.0,824.0,1256.0,3.0,66,0.613057325,54,0.65605096,1.68318719,3.39977709,0.40671273,0.69904459,1.69547325,0.41924242,0.17434756,0.42211538,1.00927728,0.67859131,0.46288346,0.11111111,0.22280093,0.74203822,3.0
655,Zr53Co31Al16,763.0,812.0,1257.0,5.0,66,0.607000796,49,0.64598250,1.67122098,3.12867567,0.40198020,0.68496420,1.64372470,0.40990790,0.18420963,0.41614306,0.98937276,0.66734562,0.47273148,0.09919028,0.18879939,0.72394590,5.0
656,Zr54Co30Al16,757.0,806.0,1258.0,6.0,66,0.601748808,49,0.64069952,1.66647800,2.98644177,0.40000000,0.67965024,1.60878244,0.40682025,0.18784119,0.41424419,0.98099741,0.66254285,0.47632226,0.09780439,0.18155787,0.71860095,6.0
657,Zr55Co29Al16,750.0,799.0,1258.0,7.0,66,0.596184420,49,0.63513514,1.66151775,2.84434762,0.39790837,0.67408585,1.57283465,0.40359419,0.19166139,0.41225085,0.97221049,0.65751108,0.48006994,0.09645669,0.17443433,0.71303657,7.0
658,Zr56Co28Al16,743.0,792.0,1258.0,7.0,66,0.590620032,49,0.62957075,1.65656889,2.70983072,0.39580210,0.66852146,1.53786408,0.40036381,0.19550263,0.41024390,0.96342356,0.65248872,0.48380821,0.09514563,0.16765367,0.70747218,7.0
659,Zr56Co27Al16,735.0,787.0,1260.0,5.0,66,0.583333333,52,0.62460317,1.65408163,2.58547171,0.39448622,0.66587302,1.49904762,0.39941667,0.19708420,0.40986810,0.95777209,0.64940703,0.48520835,0.09904762,0.17083168,0.70714286,5.0
660,Zr58Co28Al16,729.0,780.0,1282.0,2.0,66,0.568642746,51,0.60842434,1.63860159,2.25639276,0.38786673,0.64820593,1.41048825,0.38873353,0.20960295,0.40300679,0.93080364,0.63402736,0.49719789,0.09222423,0.14753337,0.68798752,2.0
661,Zr62Ti1.5Al9Fe4.5Cu23,662.0,740.0,1185.0,6.0,67,0.558649789,78,0.62447257,1.67647456,2.47382906,0.40064970,0.69029536,1.41491396,0.41145891,0.17775648,0.42493506,0.97052663,0.66405519,0.46486399,0.14913958,0.26075496,0.75611814,6.0
662,Zr60.5Ti3Al9Fe4.5Cu23,662.0,732.0,1165.0,10.0,67,0.568240343,70,0.62832618,1.67398052,2.58459963,0.40065681,0.68841202,1.45526839,0.41209599,0.17968631,0.42277280,0.97506026,0.66386876,0.46726363,0.13916501,0.24716117,0.74849785,10.0
663,Zr59Ti4.5Al9Fe4.5Cu23,662.0,716.0,1153.0,8.0,67,0.574154380,54,0.62098873,1.65572538,2.48203635,0.39449036,0.66782307,1.45824847,0.40121605,0.19510442,0.41198502,0.95639435,0.64957337,0.48292379,0.10997963,0.18719269,0.71465742,8.0
664,Zr57.5Ti6Al9Fe4.5Cu23,661.0,705.0,1149.0,3.0,67,0.575282855,44,0.61357702,1.64184866,2.36387570,0.38950276,0.65187119,1.44467213,0.39048680,0.20720191,0.40399137,0.93752472,0.63769420,0.49506338,0.09016393,0.14753267,0.69016536,3.0
665,Zr31Ti27Be26Cu10Fe6,617.0,685.0,1037.0,13.0,68,0.594985535,68,0.66055931,1.70519623,3.41106825,0.41414752,0.72613308,1.63095238,0.43405464,0.15465979,0.43728223,1.02965133,0.69425561,0.44304875,0.16190476,0.33861699,0.79170685,13.0
666,Zr31Ti27Be26Cu10Al6,607.0,678.0,1060.0,13.0,68,0.572641509,71,0.63962264,1.68961021,2.82027631,0.40671866,0.70660377,1.49668874,0.42132457,0.16702589,0.43095512,0.99569563,0.67736127,0.45478677,0.15673289,0.29533867,0.77358491,13.0
667,Zr31Ti27Be26Cu10Ag6,620.0,675.0,1057.0,14.0,68,0.586565752,55,0.63859981,1.67527543,2.86793125,0.40250447,0.69063387,1.54462243,0.41483611,0.17910290,0.42147806,0.98796265,0.66804723,0.46731409,0.12585812,0.23368329,0.74266793,14.0
668,Zr31Ti27Be26Cu10Ni6,610.0,682.0,1023.0,15.0,68,0.596285435,72,0.66666667,1.71431822,3.57771261,0.41763625,0.73704790,1.65133172,0.43928926,0.14733691,0.44222874,1.04107433,0.70185728,0.43574705,0.17433414,0.37770573,0.80742913,15.0
669,Zr31Ti27Be26Cu10Cr6,611.0,678.0,1018.0,14.0,68,0.600196464,67,0.66601179,1.70985276,3.58354671,0.41620626,0.73182711,1.66584767,0.43754048,0.15102647,0.43926887,1.03867421,0.69901652,0.43949035,0.16461916,0.35412630,0.79764244,14.0
